"doi","experiment_design","mean_es_per_paper","median_es_per_paper","sd_es_per_paper","mad_es_per_paper","num_es_per_paper","median_N_num_per_paper","no_meta_max_N_per_paper","no_meta_min_N_per_paper","no_meta_median_N_per_paper","num_topic","topic","topic_category","topic_for_analysis"
"10.1145/3411764.3445499","within",0.261803398874989,0.261803398874989,0.0540181513475453,0.0566302808279406,2,23,23,23,23,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445504","between",0.0380828665642022,0.0380828665642022,NA,0,1,22,22,22,22,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445507","between",0.197545200794549,0.197545200794549,0.0216389899072808,0.0226853760210727,2,72,72,72,72,"topic_1","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445507","between",0.197545200794549,0.197545200794549,0.0216389899072808,0.0226853760210727,2,72,72,72,72,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445515","between",0.26352,0.26352,NA,0,1,217,217,217,217,"topic_1","virtual reality","human centered computing","virtual reality"
"10.1145/3411764.3445515","between",0.26352,0.26352,NA,0,1,217,217,217,217,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445516","between",0.261482623143641,0.262715752835395,0.150174833638139,0.12997026264789,12,352.5,2173,1918,1949,"topic_1","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445516","between",0.261482623143641,0.262715752835395,0.150174833638139,0.12997026264789,12,352.5,2173,1918,1949,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445516","between",0.261482623143641,0.262715752835395,0.150174833638139,0.12997026264789,12,352.5,2173,1918,1949,"topic_3","social and professional topics","social and professional topics","social and professional topics"
"10.1145/3411764.3445516","within",0.0974242525850942,0.0253949215234922,0.168129963171173,0,4,352.5,932,325,801,"topic_1","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445516","within",0.0974242525850942,0.0253949215234922,0.168129963171173,0,4,352.5,932,325,801,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445516","within",0.0974242525850942,0.0253949215234922,0.168129963171173,0,4,352.5,932,325,801,"topic_3","social and professional topics","social and professional topics","social and professional topics"
"10.1145/3411764.3445522","between",0.524111979716984,0.51982134518837,0.27492396776566,0.344554153198623,4,18,18,18,18,"topic_1","hci theory, concepts and models","human centered computing","hci theory, concepts and models"
"10.1145/3411764.3445522","between",0.524111979716984,0.51982134518837,0.27492396776566,0.344554153198623,4,18,18,18,18,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445522","between",0.524111979716984,0.51982134518837,0.27492396776566,0.344554153198623,4,18,18,18,18,"topic_4","applied computing","applied computing","applied computing"
